URL,Color,Body_type,Fuel_type,Engine_cc
contactcars.com/ar/new-cars/deepal-s07/for-sale/d62c802be0ec,Gray,SUV,Electric,
contactcars.com/ar/used-cars/bmw-x2/f5cd81cc3be4,Red,SUV,Gas,1500
contactcars.com/ar/used-cars/citroen-c3/83f7563b9e1d,Silver,Hatchback,Gas,1400
contactcars.com/ar/used-cars/mercedes-c180/d8e6d736db79,Gray,Sedan,Gas,1500
contactcars.com/ar/used-cars/land_rover-defender/aac4a9e82ed0,White,SUV,Gas,3000
contactcars.com/ar/used-cars/mercedes-eqe_350/fbce7ec38a67,Black,SUV,Electric,
contactcars.com/ar/new-cars/deepal-s05/for-sale/512239385480,White,SUV,Electric,
contactcars.com/ar/used-cars/mercedes-e_180/612a9e0a96bd,Black,Sedan,Gas,1800
contactcars.com/ar/new-cars/deepal-s05/for-sale/b3d0e1ca7af3,White,SUV,Electric,
contactcars.com/ar/new-cars/toyota-fortuner/for-sale/101337673e15,Black,SUV,Gas,4000
contactcars.com/ar/new-cars/chery-tiggo_8_pro_max/for-sale/44d128ef9556,White,SUV,Gas,1600
contactcars.com/ar/used-cars/renault-megane/1db514e0707c,Brown,Sedan,Gas,1600
contactcars.com/ar/new-cars/skoda-kodiaq/for-sale/581545f7fe4d,Gray,SUV,Gas,1500
contactcars.com/ar/used-cars/mercedes-eqs_suv/255a3f4fd600,Gray,SUV,Electric,
contactcars.com/ar/new-cars/changan-uni_v/for-sale/501330ec01c1,Beige,Sedan,Gas,1500
contactcars.com/ar/new-cars/skoda-kodiaq/for-sale/4e835528f84a,Gray,SUV,Gas,1500
contactcars.com/ar/new-cars/changan-uni_v/for-sale/b5854aa0add6,White,Sedan,Gas,1500
contactcars.com/ar/used-cars/daewoo-lanos_ii/5ad4142b55a2,Silver,Sedan,Natural Gas,1500
contactcars.com/ar/new-cars/geely-cityray/for-sale/64fd938a4336,Gray,SUV,Gas,1500
contactcars.com/ar/used-cars/volkswagen-e_lavida/e993dafec90a,,,,
contactcars.com/ar/used-cars/mitsubishi-lancer_puma/b685a80f5b63,Silver,Sedan,Gas,1600
contactcars.com/ar/used-cars/bmw-x3/b1a064fe341e,Navy Blue,Hatchback,Gas,2000
contactcars.com/ar/new-cars/hyundai-tucson/for-sale/299c5ac02340,Dark Grey,SUV,Gas,1600
contactcars.com/ar/new-cars/cadillac-escalade/for-sale/285ca258f6a4,Black,,Gas,6200
contactcars.com/ar/new-cars/mg-7/for-sale/34b93ac24484,Green,Sedan,Gas,1500
contactcars.com/ar/used-cars/bmw-x7/3ab8bd6049cb,Gray,SUV,Gas,4400
contactcars.com/ar/new-cars/chevrolet-tfr/for-sale/134c9c39c47d,White,Pickup,Gas,2500
contactcars.com/ar/new-cars/baic-bj30/for-sale/c488379d8a63,Gray,SUV,Hybrid,1500
contactcars.com/ar/new-cars/hyundai-accent_rb/for-sale/e0ec61b7d2274b388e655b68dd13de06,Silver,Sedan,Gas,1600
contactcars.com/ar/new-cars/byd-f3/for-sale/16ce89f9923a,Blue,Sedan,Gas,1500
contactcars.com/ar/new-cars/chery-tiggo_7/for-sale/fc5075ca9306,Navy Blue,SUV,Gas,1500
contactcars.com/ar/new-cars/soueast-s_07/for-sale/f9951b2eef46,Gray,SUV,Gas,1600
contactcars.com/ar/new-cars/mg-5/for-sale/4849b110313b,Red,Sedan,Gas,1500
contactcars.com/ar/new-cars/chevrolet-optra/for-sale/91075ef5742c,Navy Blue,Sedan,Gas,1500
contactcars.com/ar/new-cars/skoda-octavia_a8/for-sale/59e0169d4e30,Silver,Sedan,Gas,1400
contactcars.com/ar/new-cars/shineray-x30/for-sale/846f43254e57,Silver,Van,Gas,1500
contactcars.com/ar/new-cars/mg-zs/for-sale/7439d72087444a7fbfc3b6d499dac8a7,Red,SUV,Gas,1500
contactcars.com/ar/new-cars/nissan-sunny/for-sale/0518b9495c7649adbffc8c849928e37f,Black,Sedan,Gas,1500
contactcars.com/ar/new-cars/mg-rx5_plus/for-sale/2f3f6d3eb6cf406b87839b72089aa241,Dark Grey,SUV,Gas,1500
contactcars.com/ar/new-cars/kaiyi-x7/for-sale/3e68dd8a569c,Dark Grey,SUV,Gas,1500
contactcars.com/ar/new-cars/soueast-s_06/for-sale/264dccad09b1,White,SUV,Gas,1600
contactcars.com/ar/new-cars/proton-saga/for-sale/0af27968e6c9,Blue,Sedan,Gas,1300
contactcars.com/ar/used-cars/renault-captur/28c38051d20d,Black,SUV,Gas,1200
contactcars.com/ar/new-cars/chery-tiggo_4_pro/for-sale/d3a80a93601d,White,SUV,Gas,1500
contactcars.com/ar/used-cars/mercedes-e_180/91846ff195d4,White,Sedan,Gas,1600
contactcars.com/ar/used-cars/mercedes-cla_200/d55084e5a5fe,White,Coupe,Gas,1300
contactcars.com/ar/used-cars/mercedes-c200/9ba360b747a6,Black,Sedan,Hybrid,1500
contactcars.com/ar/used-cars/seat-leon/5e424e1f734e,Gray,Hatchback,Gas,1600
contactcars.com/ar/new-cars/soueast-s_06/for-sale/7ace6e87e21f,Gray,SUV,Gas,1600
contactcars.com/ar/new-cars/suzuki-baleno/for-sale/b1fdd8180004,Maroon,Hatchback,Gas,1500
contactcars.com/ar/used-cars/renault-duster/f62d519f873c,Green,SUV,Gas,1400
contactcars.com/ar/used-cars/peugeot-3008/95a83a83cdab,Blue,SUV,Gas,1600
contactcars.com/ar/used-cars/cupra-leon/02896b59e7c4,Beige,Hatchback,Gas,1400
contactcars.com/ar/new-cars/hyundai-tucson/for-sale/3e6c36621c1c,Gray,SUV,Gas,1600
contactcars.com/ar/new-cars/deepal-s07/for-sale/b3c599a1ac24,Gray,Hatchback,Electric,
contactcars.com/ar/new-cars/hyundai-tucson/for-sale/f23b68d6bab8,White,SUV,Gas,1500
contactcars.com/ar/new-cars/ssangyong-torres/for-sale/b86b41e60e3e,,,,
contactcars.com/ar/new-cars/kia-sorento/for-sale/c86bd450a1c2,Silver,SUV,Gas,1600
contactcars.com/ar/new-cars/mg-5/for-sale/c5d68d315ab6,White,Sedan,Gas,1500
contactcars.com/ar/used-cars/mercedes-c180/07ff072c7d52,Gray,Sedan,Gas,1600
contactcars.com/ar/new-cars/mg-7/for-sale/dda0dc00c55c,Gray,Sedan,Gas,1500
contactcars.com/ar/new-cars/jetour-x70/for-sale/e57f8c0e9888,Gray,SUV,Gas,1500
contactcars.com/ar/new-cars/chery-tiggo_7/for-sale/ca0a560c720e,Beige,SUV,Gas,1500
contactcars.com/ar/new-cars/chery-tiggo_8/for-sale/ee73aa6ac1aa,Black,SUV,Gas,1500
contactcars.com/ar/new-cars/nissan-sunny/for-sale/256ad81ce539,Black,Sedan,Gas,1500
contactcars.com/ar/new-cars/hyundai-accent/for-sale/8650b65265c3,Red,Sedan,Gas,1600
contactcars.com/ar/new-cars/byd-f3/for-sale/cbdec83891e6,Blue,Sedan,Gas,1500
contactcars.com/ar/used-cars/kia-cerato/e4f94ace77f6,Black,Sedan,Gas,1600
contactcars.com/ar/new-cars/toyota-fortuner/for-sale/95e88e2e49c5,White,SUV,Gas,4000
contactcars.com/ar/new-cars/toyota-corolla/for-sale/1584dfb0604c,Gray,Sedan,Gas,1600
contactcars.com/ar/new-cars/toyota-urban_cruiser/for-sale/5d91587e2a45,Blue,SUV,Gas,1500
contactcars.com/ar/new-cars/mg-5/for-sale/7cfdf65d0b87,Blue,Sedan,Gas,1500
contactcars.com/ar/new-cars/audi-q2/for-sale/b87f32a06e20,Gold,SUV,Gas,1500
contactcars.com/ar/new-cars/nissan-x_trail/for-sale/fab5f8a0c776,Beige,SUV,Gas,1500
contactcars.com/ar/new-cars/nissan-sentra/for-sale/8460e368a5e1,Silver,Sedan,Gas,1600
contactcars.com/ar/new-cars/mitsubishi-xpander/for-sale/a0fba65c5839,Silver,SUV,Gas,1500
contactcars.com/ar/new-cars/chery-tiggo_4_pro/for-sale/826e1709c4ae,Red,SUV,Gas,1500
contactcars.com/ar/new-cars/renault-megane/for-sale/283528cc852c,Maroon,Sedan,Gas,1600
contactcars.com/ar/new-cars/mg-zs/for-sale/b7222003bfc9,Red,SUV,Gas,1500
contactcars.com/ar/new-cars/mg-one/for-sale/a100131fac94,Blue,SUV,Gas,1500
contactcars.com/ar/new-cars/jetour-t2/for-sale/b2ff7cd4ce0a,Silver,SUV,Gas,1500
contactcars.com/ar/new-cars/jetour-t1/for-sale/03ddba64dd4b,Blue,SUV,Gas,1500
contactcars.com/ar/new-cars/baic-u5_plus/for-sale/e3bc95696c5d,Gray,Sedan,Gas,1500
contactcars.com/ar/new-cars/baic-x_55/for-sale/62a1d17bc947,Gray,SUV,Gas,1500
contactcars.com/ar/new-cars/baic-bj30/for-sale/59d350581997,Gray,SUV,Gas,1500
contactcars.com/ar/used-cars/bmw-x6/ab568868d91a,Black,SUV,Gas,4400
contactcars.com/ar/used-cars/renault-megane/e425b80be4fa,Black,Sedan,Gas,1600
