Model_name,Price,Manufacturer,Condition,Type,Distance,Color,Body_type,Fuel_type,Engine_cc
رينو ميجان 2017,"650,000 ج.م.",رينو,مستعملة,أوتوماتيك,"155,000 كم",Black,Hatchback,Gas,1600.0
إم جي 7 2026,"1,500,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Green,Sedan,Gas,1500.0
فيات تيبو 2018,"570,000 ج.م.",فيات,مستعملة,أوتوماتيك,"220,000 كم",Bronze,Sedan,Gas,1600.0
كايي X3 2026,"860,000 ج.م.",كايي,جديدة,أوتوماتيك,,Gray,SUV,Gas,1500.0
فورد كوجا 2016,"800,000 ج.م.",فورد,مستعملة,أوتوماتيك,"58,000 كم",Black,SUV,Gas,1600.0
كرايسلر فوياجر 2000,"250,000 ج.م.",كرايسلر,مستعملة,أوتوماتيك,"325,000 كم",Black,SUV,Gas,3800.0
كيا ريو 2001,"250,000 ج.م.",كيا,مستعملة,مانيوال,"9,999 كم",Silver,Hatchback,Gas,1300.0
بيجو 2008 2020,"950,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"52,757 كم",White,Hatchback,Gas,1600.0
تويوتا كورولا 2015,"800,000 ج.م.",تويوتا,مستعملة,أوتوماتيك,"74,000 كم",Gray,Sedan,Gas,1600.0
أودي A3 2015,"950,000 ج.م.",أودي,مستعملة,أوتوماتيك,"216,000 كم",Red,Sedan,Gas,1400.0
شيفروليه اوبترا 2026,"740,000 ج.م.",شيفروليه,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1500.0
إم جي 5 2026,"890,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Red,Sedan,Gas,1500.0
أودي Q7 2025,"5,550,000 ج.م.",أودي,جديدة,أوتوماتيك,,Silver,SUV,Gas,2000.0
شيري تيجو 4 برو 2026,"885,000 ج.م.",شيري,جديدة,أوتوماتيك,,White,SUV,Gas,1500.0
أوبل كورسا 2005,"210,000 ج.م.",أوبل,مستعملة,مانيوال,"326,000 كم",Black,Sedan,Gas,1600.0
بورش ماكان 2022,"4,150,000 ج.م.",بورش,مستعملة,أوتوماتيك,"14,000 كم",Blue,SUV,Gas,2000.0
بي ام دبليو 235i 2024,"4,750,000 ج.م.",بي ام دبليو,جديدة,أوتوماتيك,,White,Sedan,Gas,2000.0
بي ام دبليو X5 2024,"6,750,000 ج.م.",بي ام دبليو,مستعملة,أوتوماتيك,"15,000 كم",Black,SUV,Gas,4400.0
شيري تيجو 4 برو 2026,"990,000 ج.م.",شيري,جديدة,أوتوماتيك,,Silver,SUV,Gas,1500.0
ميني كابريو 2016,"1,500,000 ج.م.",ميني,مستعملة,أوتوماتيك,"56,000 كم",Turquoise,Cabriolet,Gas,1500.0
بي ام دبليو X1 2025,"3,300,000 ج.م.",بي ام دبليو,جديدة,أوتوماتيك,,Blue,SUV,Gas,1500.0
إم جي 7 2025,"1,550,000 ج.م.",إم جي,جديدة,أوتوماتيك,,Dark Grey,Sedan,Gas,1500.0
إم جي 7 2025,"1,550,000 ج.م.",إم جي,جديدة,أوتوماتيك,,,,,
سكودا سوبيرب 2025,"1,950,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Black,Sedan,Gas,1400.0
سكودا سوبيرب 2025,"1,950,000 ج.م.",سكودا,جديدة,أوتوماتيك,,,,,
تويوتا فورتشنر 2016,"1,950,000 ج.م.",تويوتا,مستعملة,أوتوماتيك,"110,000 كم",White,Hatchback,Gas,4000.0
نيسان قشقاي 2019,"830,000 ج.م.",نيسان,مستعملة,أوتوماتيك,"137,000 كم",Brown,SUV,Gas,1200.0
كيا سورينتو 2025,"3,300,000 ج.م.",كيا,جديدة,أوتوماتيك,,Dark Grey,SUV,Gas,1600.0
